path	start	end	macro_name
crates/hir-def/src/item_tree/pretty.rs	11046	11081	wln
crates/hir-def/src/item_tree.rs	14793	15403	mod_items
crates/hir-def/src/lang_item.rs	17147	32502	language_item_table
crates/hir-def/src/lib.rs	6546	6584	impl_intern
crates/hir-def/src/lib.rs	6625	6659	impl_intern
crates/hir-def/src/lib.rs	7069	7101	impl_intern
crates/hir-def/src/lib.rs	7508	7538	impl_intern
crates/hir-def/src/lib.rs	7952	7984	impl_intern
crates/hir-def/src/lib.rs	8034	8068	impl_intern
crates/hir-def/src/lib.rs	8111	8143	impl_intern
crates/hir-def/src/lib.rs	8340	8380	impl_intern
crates/hir-def/src/lib.rs	8417	8447	impl_intern
crates/hir-def/src/lib.rs	9212	9240	impl_intern
crates/hir-def/src/lib.rs	9291	9335	impl_intern
crates/hir-def/src/lib.rs	9386	9430	impl_intern
crates/hir-def/src/lib.rs	9722	9766	impl_intern
crates/hir-def/src/lib.rs	9767	9822	impl_loc
crates/hir-def/src/lib.rs	10804	10838	impl_intern
crates/hir-def/src/lib.rs	10839	10895	impl_loc
crates/hir-def/src/lib.rs	11136	11178	impl_intern
crates/hir-def/src/lib.rs	11179	11241	impl_loc
crates/hir-def/src/lib.rs	11984	12024	impl_intern
crates/hir-def/src/lib.rs	12025	12078	impl_loc
crates/hir-def/src/unstable_features.rs	2020	2445	define_unstable_features
crates/hir-expand/src/builtin/attr_macro.rs	1652	2189	register_builtin
crates/hir-expand/src/builtin/derive_macro.rs	1835	2228	register_builtin
crates/hir-expand/src/builtin/fn_macro.rs	2872	3888	register_builtin
crates/hir-expand/src/builtin/fn_macro.rs	3890	4318	register_builtin
crates/hir-expand/src/builtin/quote.rs	7768	9204	impl_to_to_tokentrees
crates/hir-expand/src/builtin/quote.rs	10776	10794	quote
crates/hir-expand/src/builtin/quote.rs	11208	11371	quote
crates/hir-expand/src/builtin/quote.rs	11799	11838	quote
crates/hir-expand/src/builtin/quote.rs	12178	12351	quote
crates/hir-expand/src/inert_attr_macro.rs	4265	4330	ungated
crates/hir-expand/src/inert_attr_macro.rs	4336	4425	ungated
crates/hir-expand/src/inert_attr_macro.rs	4448	4528	ungated
crates/hir-expand/src/inert_attr_macro.rs	4534	4681	ungated
crates/hir-expand/src/inert_attr_macro.rs	4703	4774	ungated
crates/hir-expand/src/inert_attr_macro.rs	4780	4874	ungated
crates/hir-expand/src/inert_attr_macro.rs	4880	4942	ungated
crates/hir-expand/src/inert_attr_macro.rs	4987	5077	ungated
crates/hir-expand/src/inert_attr_macro.rs	5083	5144	ungated
crates/hir-expand/src/inert_attr_macro.rs	5150	5293	ungated
crates/hir-expand/src/inert_attr_macro.rs	5299	5370	ungated
crates/hir-expand/src/inert_attr_macro.rs	5391	5534	ungated
crates/hir-expand/src/inert_attr_macro.rs	5540	5684	ungated
crates/hir-expand/src/inert_attr_macro.rs	5690	5835	ungated
crates/hir-expand/src/inert_attr_macro.rs	5841	5986	ungated
crates/hir-expand/src/inert_attr_macro.rs	5992	6135	ungated
crates/hir-expand/src/inert_attr_macro.rs	6141	6229	ungated
crates/hir-expand/src/inert_attr_macro.rs	6235	6378	gated
crates/hir-expand/src/inert_attr_macro.rs	6384	6608	ungated
crates/hir-expand/src/inert_attr_macro.rs	6640	6726	ungated
crates/hir-expand/src/inert_attr_macro.rs	6732	6818	ungated
crates/hir-expand/src/inert_attr_macro.rs	6854	6941	ungated
crates/hir-expand/src/inert_attr_macro.rs	6986	7221	ungated
crates/hir-expand/src/inert_attr_macro.rs	7227	7308	ungated
crates/hir-expand/src/inert_attr_macro.rs	7314	7371	ungated
crates/hir-expand/src/inert_attr_macro.rs	7377	7454	ungated
crates/hir-expand/src/inert_attr_macro.rs	7460	7543	ungated
crates/hir-expand/src/inert_attr_macro.rs	7549	7633	ungated
crates/hir-expand/src/inert_attr_macro.rs	7639	7717	ungated
crates/hir-expand/src/inert_attr_macro.rs	7723	7821	ungated
crates/hir-expand/src/inert_attr_macro.rs	7827	7901	ungated
crates/hir-expand/src/inert_attr_macro.rs	7923	8011	ungated
crates/hir-expand/src/inert_attr_macro.rs	8017	8107	ungated
