set	path	rc	ms_parallel8	bytes	lines	err
program	tsc/internal/bundled/libs/lib.es2015.iterable.d.ts	0	41	18185	3980	
program	tsc/internal/bundled/libs/lib.es2015.promise.d.ts	0	25	3161	393	
program	tsc/internal/bundled/libs/lib.es2015.proxy.d.ts	0	40	5212	582	
program	tsc/internal/bundled/libs/lib.es2015.reflect.d.ts	0	30	6454	783	
program	tsc/internal/bundled/libs/lib.es2015.symbol.d.ts	0	52	1608	101	
program	tsc/internal/bundled/libs/lib.es2015.symbol.wellknown.d.ts	0	59	10971	1654	
program	tsc/internal/bundled/libs/lib.es2016.array.include.d.ts	0	47	5165	490	
program	tsc/internal/bundled/libs/lib.es2016.d.ts	0	24	926	9	
program	tsc/internal/bundled/libs/lib.es2016.full.d.ts	0	29	993	13	
program	tsc/internal/bundled/libs/lib.es2016.intl.d.ts	0	28	1445	42	
program	tsc/internal/bundled/libs/lib.es2017.arraybuffer.d.ts	0	25	876	18	
program	tsc/internal/bundled/libs/lib.es2017.d.ts	0	37	1123	19	
program	tsc/internal/bundled/libs/lib.es2017.date.d.ts	0	27	1877	78	
program	tsc/internal/bundled/libs/lib.es2017.full.d.ts	0	26	993	13	
program	tsc/internal/bundled/libs/lib.es2017.intl.d.ts	0	29	1410	169	
program	tsc/internal/bundled/libs/lib.es2017.object.d.ts	0	26	2434	222	
program	tsc/internal/bundled/libs/lib.es2017.sharedmemory.d.ts	0	27	7170	1141	
program	tsc/internal/bundled/libs/lib.es2017.string.d.ts	0	38	2540	66	
program	tsc/internal/bundled/libs/lib.es2017.typedarrays.d.ts	0	16	1503	192	
program	tsc/internal/bundled/libs/lib.es2018.asyncgenerator.d.ts	0	23	2653	358	
program	tsc/internal/bundled/libs/lib.es2018.asynciterable.d.ts	0	27	2218	370	
program	tsc/internal/bundled/libs/lib.es2018.d.ts	0	28	1049	15	
program	tsc/internal/bundled/libs/lib.es2018.full.d.ts	0	11	1035	15	
program	tsc/internal/bundled/libs/lib.es2018.intl.d.ts	0	28	2891	580	
program	tsc/internal/bundled/libs/lib.es2018.promise.d.ts	0	22	1314	63	
program	tsc/internal/bundled/libs/lib.es2018.regexp.d.ts	0	21	1193	70	
program	tsc/internal/bundled/libs/lib.es2019.array.d.ts	0	23	3124	512	
program	tsc/internal/bundled/libs/lib.es2019.d.ts	0	13	1032	15	
program	tsc/internal/bundled/libs/lib.es2019.full.d.ts	0	23	1035	15	
program	tsc/internal/bundled/libs/lib.es2019.intl.d.ts	0	30	919	26	
program	tsc/internal/bundled/libs/lib.es2019.object.d.ts	0	19	1434	94	
program	tsc/internal/bundled/libs/lib.es2019.string.d.ts	0	28	1489	58	
program	tsc/internal/bundled/libs/lib.es2019.symbol.d.ts	0	17	967	26	
program	tsc/internal/bundled/libs/lib.es2020.bigint.d.ts	0	49	38258	4713	
program	tsc/internal/bundled/libs/lib.es2020.d.ts	0	22	1162	21	
program	tsc/internal/bundled/libs/lib.es2020.date.d.ts	0	19	2917	120	
program	tsc/internal/bundled/libs/lib.es2020.full.d.ts	0	18	1035	15	
program	tsc/internal/bundled/libs/lib.es2020.intl.d.ts	0	17	22314	2185	
program	tsc/internal/bundled/libs/lib.es2020.number.d.ts	0	14	1548	48	
program	tsc/internal/bundled/libs/lib.es2020.promise.d.ts	0	15	1764	229	
program	tsc/internal/bundled/libs/lib.es2020.sharedmemory.d.ts	0	13	5089	592	
program	tsc/internal/bundled/libs/lib.es2020.string.d.ts	0	11	2451	134	
program	tsc/internal/bundled/libs/lib.es2020.symbol.wellknown.d.ts	0	14	1566	112	
