path	line	callee	receiver_type	impls_of_pair	class
crates/hir-expand/src/eager.rs	64	MacroCallId::new	-norow-	0	8 `T::f()`, T a corpus struct/enum
crates/hir-expand/src/eager.rs	197	data	Crate	0	5 corpus struct/enum, method from an external trait or a Deref
crates/hir-expand/src/eager.rs	222	with_value	InFile	0	3a receiver type is a corpus ALIAS to an external type
crates/hir-expand/src/files.rs	244	syntax	T	0	6 receiver type is a corpus TRAIT (dyn/impl/bound)
crates/hir-expand/src/fixup.rs	333	kind	SyntaxNode	0	3a receiver type is a corpus ALIAS to an external type
crates/hir-ty/src/autoderef.rs	296	infcx	Ctx	0	5 corpus struct/enum, method from an external trait or a Deref
crates/hir-ty/src/db.rs	62	crate::mir::mir_body_query	-norow-	0	11 module-qualified path `mod::f()`
crates/hir-ty/src/diagnostics/expr.rs	134	push	Vec	2	7 Named receiver, 2+ corpus impls of (T, m)
crates/hir-ty/src/diagnostics/expr.rs	266	push	Vec	2	7 Named receiver, 2+ corpus impls of (T, m)
crates/hir-ty/src/diagnostics/expr.rs	367	alloc	Arena	0	3b receiver type undeclared in corpus (std/external)
crates/hir-ty/src/display.rs	1283	mem::replace	-norow-	0	11 module-qualified path `mod::f()`
crates/hir-ty/src/display.rs	2363	containing_module	ModuleId	0	3a receiver type is a corpus ALIAS to an external type
crates/hir-ty/src/dyn_compatibility.rs	102	into	TraitId	0	3a receiver type is a corpus ALIAS to an external type
crates/hir-ty/src/infer.rs	1265	iter	ArenaMap	0	3b receiver type undeclared in corpus (std/external)
crates/hir-ty/src/infer.rs	1964	store	Ty	0	5 corpus struct/enum, method from an external trait or a Deref
crates/hir-ty/src/infer/callee.rs	507	output	FnSig	0	3a receiver type is a corpus ALIAS to an external type
crates/hir-ty/src/infer/closure/analysis/expr_use_visitor.rs	1214	into	PatId	0	3a receiver type is a corpus ALIAS to an external type
crates/hir-ty/src/infer/closure/analysis/expr_use_visitor.rs	1290	into	ExprId	0	3a receiver type is a corpus ALIAS to an external type
crates/hir-ty/src/infer/closure/analysis/expr_use_visitor.rs	1600	ProjectionKind::Field	-norow-	0	8 `T::f()`, T a corpus struct/enum
crates/hir-ty/src/infer/coerce.rs	683	infcx	D	0	6 receiver type is a corpus TRAIT (dyn/impl/bound)
crates/hir-ty/src/infer/coerce.rs	1585	Resolver	-norow-	0	9 free fn / bare name / struct literal
crates/hir-ty/src/infer/expr.rs	1318	into	ExprId	0	3a receiver type is a corpus ALIAS to an external type
crates/hir-ty/src/infer/expr.rs	1331	into	ExprId	0	3a receiver type is a corpus ALIAS to an external type
crates/hir-ty/src/infer/expr.rs	1520	map	ExprId	0	3a receiver type is a corpus ALIAS to an external type
crates/hir-ty/src/infer/expr.rs	1945	into	ExprId	0	3a receiver type is a corpus ALIAS to an external type
crates/hir-ty/src/layout.rs	516	kind	Const	2	7 Named receiver, 2+ corpus impls of (T, m)
crates/hir-ty/src/layout/adt.rs	140	c	ReprOptions	0	3b receiver type undeclared in corpus (std/external)
crates/hir-ty/src/lib.rs	284	rustc_type_ir::BoundVar::from_usize	-norow-	0	10 `T::f()`, T external or an alias
crates/hir-ty/src/lower.rs	2460	usize::from	-norow-	0	11 module-qualified path `mod::f()`
crates/hir-ty/src/lower.rs	2787	GenericArg::from	-norow-	0	8 `T::f()`, T a corpus struct/enum
crates/hir-ty/src/lower.rs	2883	EarlyBinder::bind	-norow-	0	10 `T::f()`, T external or an alias
crates/hir-ty/src/lower.rs	2992	push	ImplTraitLoweringState	0	5 corpus struct/enum, method from an external trait or a Deref
crates/hir-ty/src/method_resolution.rs	714	Box::new	-norow-	0	10 `T::f()`, T external or an alias
crates/hir-ty/src/method_resolution/confirm.rs	260	into	ExprId	0	3a receiver type is a corpus ALIAS to an external type
crates/hir-ty/src/method_resolution/probe.rs	729	RefCell::default	-norow-	0	10 `T::f()`, T external or an alias
crates/hir-ty/src/mir/eval.rs	113	get	Vec	0	3a receiver type is a corpus ALIAS to an external type
crates/hir-ty/src/mir/eval.rs	3239	ptr_size	Interval	0	5 corpus struct/enum, method from an external trait or a Deref
crates/hir-ty/src/mir/eval/shim.rs	245	contains	AttrFlags	0	3b receiver type undeclared in corpus (std/external)
crates/hir-ty/src/mir/lower/pattern_matching.rs	189	into	PatId	0	3a receiver type is a corpus ALIAS to an external type
crates/hir-ty/src/mir/monomorphization.rs	96	as_slice	GenericArgs	0	5 corpus struct/enum, method from an external trait or a Deref
crates/hir-ty/src/next_solver.rs	190	ManuallyDrop::new	-norow-	0	10 `T::f()`, T external or an alias
crates/hir-ty/src/next_solver.rs	232	ManuallyDrop::new	-norow-	0	10 `T::f()`, T external or an alias
crates/hir-ty/src/next_solver/fulfill.rs	246	typing_mode_raw	InferCtxt	2	7 Named receiver, 2+ corpus impls of (T, m)
crates/hir-ty/src/next_solver/generic_arg.rs	207	kind	GenericArg	2	7 Named receiver, 2+ corpus impls of (T, m)
crates/hir-ty/src/next_solver/infer/canonical/canonicalizer.rs	438	root_const_var	InferCtxt	2	7 Named receiver, 2+ corpus impls of (T, m)
crates/hir-ty/src/next_solver/infer/canonical/instantiate.rs	141	get	FxHashMap	0	3b receiver type undeclared in corpus (std/external)
