WriteFile	direct	14	n	148:func (fsys *FS) WriteFile(path string, data string) error { || 149:return fsys.fs.WriteFile(path, data)
UseCaseSensitiveFileNames	direct	19	n	55:UseCaseSensitiveFileNames: host.FS().UseCaseSensitiveFileNames(), || 88:UseCaseSensitiveFileNames: host.FS().UseCaseSensitiveFileNames(), || 171:path := tspath.ToPath(fileName, p.currentDirectory, p.fs.UseCaseSensitiveFileNames())
Error	direct	21	y	126:Message: err.Error(), || 149:Message: err.Error(), || 193:if msg.Error != nil {
NewPropertyAccessExpression	direct	1	n	290:propAccess := f.NewPropertyAccessExpression(left, nil, right, ast.NodeFlagsNone) || 359:f.NewPropertyAccessExpression(object, nil, methodName, ast.NodeFlagsNone), || 367:f.NewPropertyAccessExpression(object, nil, methodName, ast.NodeFlagsNone),
AsConditionalTypeNode	direct	1	n	784:checkType := visitor.VisitNode(node.AsConditionalTypeNode().CheckType) || 786:extendsType := visitor.VisitNode(node.AsConditionalTypeNode().ExtendsType) || 787:trueType := visitor.VisitNode(node.AsConditionalTypeNode().TrueType)
Name	direct	57	y	586:if !tx.resolver.IsDefinitelyReferenceToGlobalSymbolObject(input.Name().Expression()) { || 590:} else if (ast.IsInterfaceDeclaration(input.Parent) || ast.IsTypeLiteralNode(input.Parent)) && !ast.IsEntityNa || 596:} else if !tx.resolver.IsLateBound(tx.EmitContext().ParseNode(input)) || !ast.IsEntityNameExpression(input.Nam
GetOrCreateToken	direct	1	n	255:return sourceFile.GetOrCreateToken(token, tokenFullStart, tokenEnd, current, flags) || 258:prevToken := sourceFile.GetOrCreateToken(token, tokenFullStart, tokenEnd, current, flags) || 573:tokens = append(tokens, sourceFile.GetOrCreateToken(token, tokenFullStart, tokenEnd, n, flags))
AsNode	direct	2	y	606:return cloneNode(f.AsNodeFactory().NewToken(node.Kind), node.AsNode(), f.AsNodeFactory().hooks) || 635:return cloneNode(f.AsNodeFactory().NewIdentifier(node.Text), node.AsNode(), f.AsNodeFactory().hooks) || 659:return cloneNode(f.AsNodeFactory().NewPrivateIdentifier(node.Text), node.AsNode(), f.AsNodeFactory().hooks)
ContentMapperProject	direct	5	y	608:if contentMapperProject := project.Program.ContentMapperProject(); contentMapperProject != nil {
Push$5	closure	0	n	
