cmd/tsgo/sys.go	childProcess	internal/contentmapper/hostimpl.go	processExitState
internal/api/proto.go	GetSymbolOfSourceFileParams	internal/api/proto.go	DocumentIdentifier
internal/api/proto.go	GetSymbolOfSourceFileParams	internal/api/proto.go	ProjectID
internal/api/proto.go	GetSymbolOfSourceFileParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	GetSymbolPropertyParams	internal/api/proto.go	ProjectID
internal/api/proto.go	GetSymbolPropertyParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	GetSymbolPropertyParams	internal/api/proto.go	SymbolID
internal/api/proto.go	GetSymbolsAtLocationsParams	internal/api/proto.go	NodeHandle
internal/api/proto.go	GetSymbolsAtLocationsParams	internal/api/proto.go	ProjectID
internal/api/proto.go	GetSymbolsAtLocationsParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	GetSymbolsAtPositionsParams	internal/api/proto.go	DocumentIdentifier
internal/api/proto.go	GetSymbolsAtPositionsParams	internal/api/proto.go	ProjectID
internal/api/proto.go	GetSymbolsAtPositionsParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	GetSymbolsInScopeParams	internal/api/proto.go	DocumentIdentifier
internal/api/proto.go	GetSymbolsInScopeParams	internal/api/proto.go	NodeHandle
internal/api/proto.go	GetSymbolsInScopeParams	internal/api/proto.go	ProjectID
internal/api/proto.go	GetSymbolsInScopeParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	GetSymbolsOfSourceFilesParams	internal/api/proto.go	DocumentIdentifier
internal/api/proto.go	GetSymbolsOfSourceFilesParams	internal/api/proto.go	ProjectID
internal/api/proto.go	GetSymbolsOfSourceFilesParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	GetTypeAtLocationParams	internal/api/proto.go	NodeHandle
internal/api/proto.go	GetTypeAtLocationParams	internal/api/proto.go	ProjectID
internal/api/proto.go	GetTypeAtLocationParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	GetTypeAtLocationsParams	internal/api/proto.go	NodeHandle
internal/api/proto.go	GetTypeAtLocationsParams	internal/api/proto.go	ProjectID
internal/api/proto.go	GetTypeAtLocationsParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	GetTypeAtPositionParams	internal/api/proto.go	DocumentIdentifier
internal/api/proto.go	GetTypeAtPositionParams	internal/api/proto.go	ProjectID
internal/api/proto.go	GetTypeAtPositionParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	GetTypeFromTypeNodeParams	internal/api/proto.go	NodeHandle
internal/api/proto.go	GetTypeFromTypeNodeParams	internal/api/proto.go	ProjectID
internal/api/proto.go	GetTypeFromTypeNodeParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	GetTypeOfSymbolAtLocationParams	internal/api/proto.go	NodeHandle
