cli:check	ts:v6/tsv2/cli/bop.ts#check	bridge
pl:v6/prolog/0_relation_edge_expand.pl#relation_value_atom/3	pl:v6/prolog/0_type_plane.pl#declared_type_name/2	calls
pl:v6/prolog/0_relation_edge_expand.pl#relation_value_atom/3	pl:v6/prolog/0_type_plane.pl#type_definition/4	calls
pl:v6/prolog/0_relation_pattern.pl#expand_argument/4	pl:v6/prolog/0_type_plane.pl#declared_type_name/2	calls
pl:v6/prolog/0_relation_pattern.pl#expand_argument/4	pl:v6/prolog/0_type_plane.pl#relation_value_object/4	calls
pl:v6/prolog/0_relation_pattern.pl#expand_atom/4	pl:v6/prolog/0_type_plane.pl#relation_columns_and_types/5	calls
pl:v6/prolog/0_relation_pattern.pl#expand_goal/4	pl:v6/prolog/compile/registry.pl#body_surface_for_term/6	calls
pl:v6/prolog/0_relation_pattern.pl#expand_relation_values/2	pl:v6/prolog/0_type_plane.pl#type_definitions/2	calls
pl:v6/prolog/0_relation_pattern.pl#expand_surface_goal/5	pl:v6/prolog/0_body_walk.pl#relation_atom_wrapper/1	calls
pl:v6/prolog/0_relation_pattern.pl#module	pl:v6/prolog/0_body_walk.pl#relation_atom_wrapper/1	calls
pl:v6/prolog/0_relation_pattern.pl#module	pl:v6/prolog/0_type_plane.pl#declared_type_name/2	calls
pl:v6/prolog/0_relation_pattern.pl#module	pl:v6/prolog/0_type_plane.pl#relation_columns_and_types/5	calls
pl:v6/prolog/0_relation_pattern.pl#module	pl:v6/prolog/0_type_plane.pl#relation_value_object/4	calls
pl:v6/prolog/0_relation_pattern.pl#module	pl:v6/prolog/0_type_plane.pl#type_definitions/2	calls
pl:v6/prolog/0_relation_pattern.pl#module	pl:v6/prolog/compile/registry.pl#body_surface_for_term/6	calls
pl:v6/prolog/0_seq_expand.pl#conjunction_goals/2	pl:v6/prolog/0_seq_expand.pl#module	resides
pl:v6/prolog/0_type_plane.pl#canonical_json_text/2	pl:v6/prolog/0_type_plane.pl#module	resides
