budget	fanout	rows	batch_size	maintenance	state	repetitions	affected_rows	join_affected_rows	output_rows	output_bytes	update_transaction_median_ms	update_transaction_min_ms	update_transaction_max_ms	query_compute_median_ms	query_compute_min_ms	query_compute_max_ms	update_plus_query_median_ms	update_plus_query_min_ms	update_plus_query_max_ms	client_transfer_median_ms	checksum_median_ms
constrained	4	24	3	dd	clear_roots	3	7		0	0	0.030917	0.030375	0.030959	0.000041	0.000000	0.000041	0.030958	0.030375	0.031000		
constrained	4	24	3	dd	clear_roots	3	7		0	0	0.111458	0.107167	0.112875	0.000042	0.000041	0.000042	0.111500	0.107208	0.112917		
constrained	4	24	3	dd	clear_roots	3	7		6	65	0.014500	0.014416	0.016333	0.000167	0.000167	0.000167	0.014667	0.014583	0.016500		
constrained	4	24	3	dd	clear_roots	3	7		6	36	0.016334	0.016000	0.016750	0.000125	0.000125	0.000166	0.016459	0.016166	0.016875		
constrained	4	24	3	dd	clear_roots	3	7		23	149	0.024875	0.024458	0.025791	0.000542	0.000500	0.000542	0.025417	0.025000	0.026291		
constrained	4	24	3	dd	clear_roots	3	7		23	149	0.041584	0.039833	0.041709	0.000542	0.000541	0.000542	0.042126	0.040375	0.042250		
constrained	4	24	3	dd	clear_roots	3	7		0	0	0.037791	0.037208	0.038375	0.000041	0.000000	0.000042	0.037833	0.037249	0.038375		
constrained	4	24	3	dd	clear_roots	3	7		3	18	0.014291	0.013625	0.014667	0.000083	0.000042	0.000084	0.014375	0.013667	0.014750		
constrained	4	24	3	dd	clear_roots	3	7		24	204	0.014625	0.014125	0.015250	0.000500	0.000375	0.000500	0.015125	0.014500	0.015750		
constrained	4	24	3	dd	clear_roots	3	7		12	72	0.010458	0.009875	0.011125	0.000250	0.000250	0.000250	0.010708	0.010125	0.011375		
constrained	4	24	3	dd	clear_roots	3	7		12	72	0.010125	0.009917	0.010166	0.000292	0.000292	0.000292	0.010417	0.010209	0.010458		
constrained	4	24	3	dd	cycle_break	3	1		3	18	0.012667	0.012292	0.012833	0.000083	0.000041	0.000083	0.012750	0.012375	0.012874		
constrained	4	24	3	dd	cycle_break	3	1		5	30	0.014250	0.013875	0.014291	0.000084	0.000083	0.000125	0.014333	0.013959	0.014416		
constrained	4	24	3	dd	cycle_break	3	1		3	18	0.018042	0.017959	0.018375	0.000041	0.000041	0.000084	0.018083	0.018000	0.018459		
constrained	4	24	3	dd	cycle_break	3	1		2	12	0.014000	0.013792	0.014042	0.000041	0.000041	0.000083	0.014083	0.013833	0.014083		
constrained	4	24	3	dd	cycle_break	3	1		1	6	0.020958	0.020500	0.023375	0.000042	0.000041	0.000042	0.020999	0.020542	0.023417		
constrained	4	24	3	dd	cycle_break	3	1		0	0	0.019000	0.019000	0.022792	0.000000	0.000000	0.000042	0.019042	0.019000	0.022792		
constrained	4	24	3	dd	cycle_break	3	1		2	12	0.018750	0.018542	0.021083	0.000042	0.000041	0.000042	0.018792	0.018583	0.021125		
constrained	4	24	3	dd	cycle_break	3	1		2	12	0.018292	0.017917	0.018667	0.000042	0.000042	0.000042	0.018334	0.017959	0.018709		
constrained	4	24	3	dd	cycle_break	3	1		1	6	0.023375	0.022125	0.032333	0.000042	0.000042	0.000042	0.023417	0.022167	0.032375		
constrained	4	24	3	dd	cycle_break	3	1		1	8	0.016458	0.016417	0.016625	0.000041	0.000041	0.000042	0.016499	0.016458	0.016667		
constrained	4	24	3	dd	cycle_break	3	1		4	16	0.062584	0.060458	0.068000	0.000083	0.000041	0.000083	0.062667	0.060499	0.068083		
constrained	4	24	3	dd	cycle_break	3	1		2	20	0.018167	0.017792	0.018250	0.000042	0.000041	0.000083	0.018209	0.017833	0.018333		
constrained	4	24	3	dd	cycle_break	3	1		2	12	0.024334	0.023542	0.024375	0.000042	0.000041	0.000042	0.024376	0.023584	0.024416		
constrained	4	24	3	dd	cycle_break	3	1		4	24	0.017667	0.017458	0.017917	0.000083	0.000083	0.000083	0.017750	0.017541	0.018000		
constrained	4	24	3	dd	cycle_break	3	1		3	18	0.030666	0.029667	0.030875	0.000083	0.000083	0.000084	0.030750	0.029750	0.030958		
constrained	4	24	3	dd	cycle_break	3	1		0	0	0.025250	0.024458	0.025542	0.000000	0.000000	0.000000	0.025250	0.024458	0.025542		
constrained	4	24	3	dd	cycle_break	3	1		3	18	0.016583	0.016500	0.017083	0.000083	0.000041	0.000084	0.016667	0.016583	0.017124		
constrained	4	24	3	dd	cycle_break	3	1		3	24	0.019000	0.018250	0.019209	0.000083	0.000041	0.000084	0.019084	0.018291	0.019292		
constrained	4	24	3	dd	cycle_break	3	1		3	18	0.012333	0.011958	0.012583	0.000083	0.000042	0.000084	0.012375	0.012042	0.012666		
constrained	4	24	3	dd	cycle_break	3	1		3	18	0.012125	0.011791	0.012667	0.000083	0.000042	0.000083	0.012208	0.011833	0.012750		
constrained	4	24	3	dd	cycle_seed	3	6		5	30	0.016750	0.016750	0.017333	0.000125	0.000125	0.000250	0.016875	0.016875	0.017583		
constrained	4	24	3	dd	cycle_seed	3	6		8	48	0.018500	0.017750	0.018791	0.000167	0.000125	0.000208	0.018708	0.017875	0.018958		
constrained	4	24	3	dd	cycle_seed	3	6		5	30	0.026958	0.026792	0.028166	0.000125	0.000125	0.000167	0.027083	0.026917	0.028333		
constrained	4	24	3	dd	cycle_seed	3	6		2	12	0.028250	0.028167	0.028625	0.000083	0.000042	0.000083	0.028292	0.028250	0.028708		
constrained	4	24	3	dd	cycle_seed	3	6		5	30	0.031375	0.030458	0.059583	0.000125	0.000125	0.000209	0.031500	0.030583	0.059792		
constrained	4	24	3	dd	cycle_seed	3	6		0	0	0.033458	0.032583	0.033625	0.000000	0.000000	0.000041	0.033458	0.032583	0.033666		
constrained	4	24	3	dd	cycle_seed	3	6		4	24	0.031125	0.029958	0.040000	0.000083	0.000042	0.000084	0.031208	0.030000	0.040084		
constrained	4	24	3	dd	cycle_seed	3	6		2	12	0.040625	0.038333	0.042833	0.000084	0.000042	0.000084	0.040667	0.038417	0.042917		
constrained	4	24	3	dd	cycle_seed	3	6		3	18	0.042125	0.041042	0.078959	0.000042	0.000042	0.000084	0.042167	0.041084	0.079043		
constrained	4	24	3	dd	cycle_seed	3	6		1	8	0.033583	0.033125	0.033708	0.000042	0.000000	0.000083	0.033625	0.033125	0.033791		
constrained	4	24	3	dd	cycle_seed	3	6		4	16	0.134542	0.132584	0.183291	0.000084	0.000042	0.000167	0.134584	0.132668	0.183458		
constrained	4	24	3	dd	cycle_seed	3	6		4	40	0.028042	0.027292	0.029334	0.000083	0.000042	0.000083	0.028125	0.027375	0.029376		
constrained	4	24	3	dd	cycle_seed	3	6		4	24	0.034750	0.034417	0.034792	0.000083	0.000083	0.000083	0.034833	0.034500	0.034875		
constrained	4	24	3	dd	cycle_seed	3	6		6	36	0.027750	0.027125	0.030667	0.000125	0.000125	0.000166	0.027875	0.027291	0.030792		
constrained	4	24	3	dd	cycle_seed	3	6		5	30	0.051500	0.049666	0.051625	0.000167	0.000166	0.000167	0.051667	0.049833	0.051791		
constrained	4	24	3	dd	cycle_seed	3	6		0	0	0.045458	0.043750	0.046208	0.000042	0.000000	0.000042	0.045458	0.043792	0.046250		
constrained	4	24	3	dd	cycle_seed	3	6		3	18	0.026833	0.026209	0.027875	0.000083	0.000041	0.000083	0.026916	0.026250	0.027958		
constrained	4	24	3	dd	cycle_seed	3	6		5	40	0.029875	0.028334	0.029875	0.000166	0.000125	0.000167	0.030000	0.028500	0.030042		
constrained	4	24	3	dd	cycle_seed	3	6		5	30	0.015917	0.015834	0.017042	0.000167	0.000125	0.000167	0.016084	0.015959	0.017209		
constrained	4	24	3	dd	cycle_seed	3	6		5	30	0.016750	0.016208	0.017042	0.000166	0.000125	0.000167	0.016916	0.016333	0.017209		
constrained	4	24	3	dd	diamond_path_retract	3	1		4	24	0.012417	0.012291	0.012625	0.000084	0.000042	0.000125	0.012459	0.012416	0.012709		
constrained	4	24	3	dd	diamond_path_retract	3	1		7	42	0.013541	0.013000	0.013583	0.000125	0.000125	0.000166	0.013666	0.013125	0.013749		
constrained	4	24	3	dd	diamond_path_retract	3	1		4	24	0.018375	0.018375	0.018583	0.000083	0.000083	0.000084	0.018459	0.018458	0.018666		
constrained	4	24	3	dd	diamond_path_retract	3	1		2	12	0.015250	0.014917	0.015250	0.000042	0.000041	0.000042	0.015291	0.014959	0.015292		
constrained	4	24	3	dd	diamond_path_retract	3	1		2	12	0.022084	0.021916	0.028917	0.000042	0.000042	0.000042	0.022126	0.021958	0.028959		
constrained	4	24	3	dd	diamond_path_retract	3	1		0	0	0.021542	0.020917	0.022000	0.000000	0.000000	0.000041	0.021542	0.020958	0.022000		
constrained	4	24	3	dd	diamond_path_retract	3	1		3	18	0.019750	0.019083	0.024000	0.000042	0.000042	0.000083	0.019792	0.019125	0.024083		
constrained	4	24	3	dd	diamond_path_retract	3	1		2	12	0.019875	0.019416	0.020375	0.000042	0.000041	0.000083	0.019958	0.019458	0.020416		
constrained	4	24	3	dd	diamond_path_retract	3	1		2	12	0.023750	0.022917	0.033417	0.000041	0.000041	0.000083	0.023791	0.022958	0.033500		
constrained	4	24	3	dd	diamond_path_retract	3	1		1	8	0.018208	0.018042	0.018208	0.000042	0.000042	0.000042	0.018250	0.018084	0.018250		
constrained	4	24	3	dd	diamond_path_retract	3	1		4	16	0.072334	0.066750	0.086667	0.000084	0.000083	0.000125	0.072417	0.066834	0.086792		
constrained	4	24	3	dd	diamond_path_retract	3	1		3	30	0.019125	0.018917	0.019208	0.000083	0.000083	0.000084	0.019208	0.019001	0.019291		
constrained	4	24	3	dd	diamond_path_retract	3	1		3	18	0.025083	0.024959	0.025875	0.000042	0.000041	0.000084	0.025124	0.025043	0.025917		
constrained	4	24	3	dd	diamond_path_retract	3	1		5	30	0.018917	0.018625	0.019083	0.000125	0.000125	0.000125	0.019042	0.018750	0.019208		
constrained	4	24	3	dd	diamond_path_retract	3	1		4	24	0.033125	0.032083	0.033542	0.000083	0.000042	0.000084	0.033208	0.032167	0.033584		
constrained	4	24	3	dd	diamond_path_retract	3	1		0	0	0.027542	0.026708	0.027792	0.000000	0.000000	0.000000	0.027542	0.026708	0.027792		
constrained	4	24	3	dd	diamond_path_retract	3	1		3	18	0.020791	0.020334	0.020792	0.000042	0.000041	0.000042	0.020833	0.020376	0.020833		
constrained	4	24	3	dd	diamond_path_retract	3	1		4	32	0.020000	0.019334	0.020541	0.000083	0.000083	0.000125	0.020125	0.019417	0.020624		
