one_attempt_bounded_log_two_arms_refused	unsupported
one_attempt_guard_by_negation_arrival_order_beats_arm_order	runtime-error
one_attempt_guard_by_negation_lands_one_unnamed_winner	runtime-error
one_attempt_keyed_head_loses_the_first_arm_silently	runtime-error
one_occurrence_two_rows_still_conflicts	unsupported
option_companion_name_collision_is_named	unsupported
option_dense_sequence_of_rel_round_trips_absent_and_present	diff
option_in_key_column_is_refused	unsupported
option_list_column_roundtrips_null_and_present	runtime-error
option_list_of_rel_round_trips_absent_and_present	runtime-error
option_list_of_scalar_and_of_rel_in_one_rel	diff
option_list_of_unknown_name_keeps_its_stop	unsupported
option_of_interned_set_of_rel_is_refused	unsupported
option_of_json_list_keeps_its_stop	unsupported
option_of_option_of_scalar_keeps_its_stop	unsupported
option_rel_on_a_reference_target_round_trips_absent_and_present	runtime-error
option_rel_ref_desugars_to_companion_split_rel	runtime-error
option_scalar_enums_mint_per_element_type	diff
option_text_column_reads_through_tag_join	diff
ordered_aggregate_retraction_rebuild	runtime-error
ordered_fragment_line_assembly	clean
ordered_group_concat_explicit_comma_matches_one_argument	clean
ordered_group_concat_one_argument_defaults_to_comma	clean
ordered_group_concat_ordinal	clean
ordered_group_concat_value	clean
ordered_group_rels_json_head	clean
ordered_group_rels_v5_collect	clean
ordered_json_group_array_integer_values	clean
ordered_json_group_array_nested_json	clean
ordered_json_group_array_ordinal	clean
ordered_json_group_array_value	clean
ordered_mermaid_line_assembly	clean
ordered_program_level_fold_reaches_three_links	runtime-error
over_baseline_count_row	clean
over_baseline_diag_exact_rows	clean
over_baseline_gate_blocks_commit_only	clean
pairwise_pairs_adjacent_values_when_the_source_idles	runtime-error
pairwise_reads_state_at_the_departure_tick	runtime-error
paren_in_literal_inside_wrapper	clean
pin_to_unknown_repo_derives_repo_candidate	runtime-error
pipe_stage_costs_one_tick	unsupported
pr_size_decodes_files_and_rolls_up	clean
pre_in_level_rule_rejected	unsupported
probe_output_comparison_guard	diff
quote_in_literal_doubles_the_escape	clean
range_join_over_arithmetic	clean
reference_target_emptied_by_option_split_is_named	unsupported
regexp_non_match	runtime-error
regexp_operand_not_text	unsupported
regexp_pattern_invalid	unsupported
regexp_pattern_not_literal	unsupported
regexp_pattern_outside_subset	unsupported
regexp_positive_match	runtime-error
regexp_retraction_flip	runtime-error
rel_element_list_round_trips	runtime-error
relation_depth2_chained_decode	diff
relation_depth2_construct_and_read	diff
relation_depth2_dot_read	diff
relation_depth2_literal_leaf_selects_zero_and_one	diff
relation_depth2_many_rows_share_one_leaf	runtime-error
relation_depth2_member_dot_pattern	diff
relation_depth2_nested_decode_pattern	diff
relation_depth3_chained_decode	diff
relation_depth3_construct_and_read	diff
relation_depth3_many_rows	runtime-error
relation_pattern_target_arity_rejected	unsupported
relation_pattern_text_literal_in_ref_column_rejected	unsupported
relation_pattern_wrong_target_rejected	unsupported
relation_ref_column_fed_by_ref_variable_accepted	diff
relation_ref_column_fed_by_text_variable_rejected	unsupported
relation_reference_target_and_parent_share_tick	diff
relation_value_in_edge_rule_rejected	unsupported
relation_value_under_negation_rejected	unsupported
repeat_is_a_self_carry_chain	runtime-error
replace_rewrites_all_occurrences	clean
repo_on_bind_watch_is_refused	unsupported
reserved_namespace_declared_rel	unsupported
reserved_namespace_derived_head	unsupported
retention_count_prunes_oldest	diff
retention_head_conflict_risk_rejected	unsupported
retention_prune_is_a_visible_minus	diff
retention_single_arm_still_prunes	runtime-error
retraction_only_tick_retracts_level_view	runtime-error
rev_fill_not_behind_keeps_stale_pin_empty	runtime-error
rtrim_strips_trailing_chars	clean
same_tick_error_then_fresh_chains_arms	unsupported
scan_is_a_named_unsupported	unsupported
scan_is_a_named_unsupported_at_five_arguments	unsupported
scope_done_three_spellings	unsupported
seed_and_transition_are_disjoint	unsupported
seeded_one_arm_fold_matches_two_arms	runtime-error
seeded_pre_multicolumn_fee_stats_fold	runtime-error
seeded_pre_reads_a_body_bound_value	runtime-error
seeded_pre_text_breadcrumb_fold	runtime-error
seq_wire_hand	runtime-error
seq_wire_surface	runtime-error
set_dedups_log_stacks	runtime-error
set_rel_identical_arrival_is_one_occurrence	runtime-error
shared_demand_refcount	runtime-error
shuffled_arrival_reorders_log_deltas	runtime-error
stale_keyed_retraction_keeps_replacement	diff
state_flap_nets_to_zero_scope_churn	runtime-error
struct_arrival_field_type_rejected	unsupported
struct_arrival_functor_term_rejected	unsupported
struct_arrival_key_order_canonicalized	diff
struct_arrival_missing_key_rejected	unsupported
struct_arrival_unknown_key_rejected	unsupported
struct_column_renders_canonical_json	diff
struct_column_type_unknown_rejected	unsupported
struct_decode_field_unknown_rejected	unsupported
struct_ghcacher_stars_normalization	diff
struct_host_output_schedule_answer_interned	diff
struct_host_output_type_unknown_rejected	unsupported
struct_intern_order_a	diff
struct_intern_order_b	diff
struct_nested_value_renders_whole_tree	diff
struct_shared_child_survives_one_release	runtime-error
struct_span_columns_are_int_after_decode	diff
struct_type_cycle_rejected	unsupported
struct_type_mutual_cycle_rejected	unsupported
subscribe_is_a_named_unsupported	unsupported
sum_min_max_group_by_plain_columns	clean
switch_as_keyed_replace	runtime-error
take_until_keyed_replace_negated_done	runtime-error
terminal_is_terminal	diff
text_one_and_numeric_one_are_not_equal	unsupported
text_one_and_numeric_one_never_join	unsupported
text_rejects_number_ingress	unsupported
tightened_baseline_catches_regrowth	clean
trigger_marker_is_what_stops_backlog_replay	unsupported
two_pins_dedup_to_one_demand_row	runtime-error
typed_int_contradicts_text_witness	unsupported
typed_int_without_literal_witness	clean
unmarked_chain_replays_to_late_subscriber	unsupported
